Metrica,Valor,Umbral,Estado,Nota
Costo baseline promedio,80.49 MXN/cabeza/dia,,,
Costo optimizado promedio,60.16 MXN/cabeza/dia,,,
Ahorro promedio,20.33 MXN/cabeza/dia,,,
Ahorro porcentual medio,25.24%,,,
IC 95% del ahorro medio,"[20.01, 20.62] MXN/cabeza/dia",,,
Ahorro total del lote,182947.42 MXN,,,
Dias factibles,90 de 90,,,
Dias infeasible,0,,,
Violaciones duras baseline,0,,,
Violaciones duras optimizado,0,,,
Ahorro porcentual medio positivo,PASS,> 0%,PASS,
IC95 del ahorro medio arriba de cero,PASS,Limite inferior > 0,PASS,
Todas las corridas factibles,PASS,100% del horizonte,PASS,
Sin violaciones duras optimizadas,PASS,0 violaciones,PASS,
