dayIndex,date,baselineCostMxnPerHeadDay,optimizedCostMxnPerHeadDay,dailySavingsMxnPerHead,dailySavingsPct,baselineHardViolations,optimizedHardViolations,optimizedFeasible,solverRuntimeMs
1,2026-01-01,66.558305,49.93253,16.625775,24.979264,0,0,True,50
2,2026-01-02,66.454774,50.31366,16.141114,24.288871,0,0,True,1
3,2026-01-03,67.402518,50.525903,16.876615,25.038553,0,0,True,0
4,2026-01-04,69.004619,51.185988,17.818631,25.822374,0,0,True,0
5,2026-01-05,69.667743,51.532897,18.134846,26.030477,0,0,True,0
6,2026-01-06,71.428977,52.449681,18.979296,26.570864,0,0,True,0
7,2026-01-07,72.0518,53.304005,18.747795,26.019884,0,0,True,0
8,2026-01-08,73.185204,54.1411,19.044104,26.021795,0,0,True,0
9,2026-01-09,73.161037,54.620669,18.540368,25.341861,0,0,True,0
10,2026-01-10,72.914591,54.637709,18.276882,25.066152,0,0,True,0
11,2026-01-11,73.410947,55.070765,18.340182,24.982898,0,0,True,0
12,2026-01-12,73.031248,55.549594,17.481654,23.937225,0,0,True,0
13,2026-01-13,72.713045,55.212942,17.500103,24.06735,0,0,True,0
14,2026-01-14,72.005935,54.928792,17.077143,23.716299,0,0,True,0
15,2026-01-15,72.814626,55.753863,17.060763,23.430407,0,0,True,0
16,2026-01-16,73.557049,56.680546,16.876503,22.94342,0,0,True,0
17,2026-01-17,74.652209,56.997053,17.655156,23.649878,0,0,True,0
18,2026-01-18,76.305119,57.953842,18.351277,24.049864,0,0,True,0
19,2026-01-19,76.506102,58.32015,18.185952,23.77059,0,0,True,0
20,2026-01-20,77.379651,57.96942,19.410231,25.084413,0,0,True,0
21,2026-01-21,77.515525,58.134514,19.381011,25.002748,0,0,True,0
22,2026-01-22,78.590703,58.30087,20.289833,25.817091,0,0,True,0
23,2026-01-23,78.355253,58.114986,20.240267,25.83141,0,0,True,0
24,2026-01-24,79.052338,58.572943,20.479395,25.906122,0,0,True,0
25,2026-01-25,80.262385,59.018439,21.243946,26.468122,0,0,True,0
26,2026-01-26,80.745639,59.440567,21.305072,26.385415,0,0,True,0
27,2026-01-27,81.363513,59.543113,21.8204,26.818409,0,0,True,0
28,2026-01-28,82.158218,59.993854,22.164364,26.977659,0,0,True,0
29,2026-01-29,82.608607,60.19399,22.414617,27.133513,0,0,True,0
30,2026-01-30,82.577987,60.514402,22.063585,26.718482,0,0,True,0
31,2026-01-31,82.848602,60.499144,22.349458,26.976264,0,0,True,0
32,2026-02-01,82.985432,60.82334,22.162092,26.706003,0,0,True,0
33,2026-02-02,83.062113,60.865096,22.197017,26.723396,0,0,True,0
34,2026-02-03,83.151391,61.353392,21.797999,26.214834,0,0,True,0
35,2026-02-04,83.252196,61.488566,21.76363,26.141809,0,0,True,0
36,2026-02-05,83.329535,62.058854,21.270681,25.525981,0,0,True,0
37,2026-02-06,83.332799,62.297458,21.035341,25.242571,0,0,True,0
38,2026-02-07,83.332799,62.415378,20.917421,25.101066,0,0,True,0
39,2026-02-08,83.039658,62.368278,20.67138,24.893383,0,0,True,0
40,2026-02-09,83.31366,62.405808,20.907852,25.095347,0,0,True,0
41,2026-02-10,83.323755,62.399228,20.924527,25.112319,0,0,True,0
42,2026-02-11,83.329997,62.398568,20.931429,25.11872,0,0,True,0
43,2026-02-12,83.332799,62.415378,20.917421,25.101066,0,0,True,0
44,2026-02-13,83.288768,62.399769,20.888999,25.080211,0,0,True,0
45,2026-02-14,83.332799,62.415378,20.917421,25.101066,0,0,True,0
46,2026-02-15,83.326271,62.35616,20.970111,25.166266,0,0,True,0
47,2026-02-16,83.332799,62.415378,20.917421,25.101066,0,0,True,0
48,2026-02-17,83.330491,62.343977,20.986514,25.184676,0,0,True,0
49,2026-02-18,83.324911,62.412625,20.912286,25.09728,0,0,True,1
50,2026-02-19,83.329562,62.395957,20.933605,25.121463,0,0,True,0
51,2026-02-20,83.332799,62.411514,20.921285,25.105703,0,0,True,0
52,2026-02-21,83.112776,62.264581,20.848195,25.084224,0,0,True,0
53,2026-02-22,83.10744,62.296117,20.811323,25.041468,0,0,True,0
54,2026-02-23,83.280593,62.281345,20.999248,25.215056,0,0,True,0
55,2026-02-24,83.20138,62.237677,20.963703,25.19634,0,0,True,0
56,2026-02-25,82.742525,61.979241,20.763284,25.093849,0,0,True,0
57,2026-02-26,83.229715,62.35958,20.870135,25.075341,0,0,True,0
58,2026-02-27,83.332799,62.415378,20.917421,25.101066,0,0,True,0
59,2026-02-28,83.332799,62.415378,20.917421,25.101066,0,0,True,0
60,2026-03-01,83.332799,62.415378,20.917421,25.101066,0,0,True,0
61,2026-03-02,83.332799,62.415378,20.917421,25.101066,0,0,True,1
62,2026-03-03,83.332799,62.415378,20.917421,25.101066,0,0,True,0
63,2026-03-04,83.332799,62.415378,20.917421,25.101066,0,0,True,0
64,2026-03-05,83.332799,62.415378,20.917421,25.101066,0,0,True,0
65,2026-03-06,83.332799,62.415378,20.917421,25.101066,0,0,True,0
66,2026-03-07,83.332799,62.415378,20.917421,25.101066,0,0,True,0
67,2026-03-08,83.332799,62.415378,20.917421,25.101066,0,0,True,0
68,2026-03-09,83.332799,62.415378,20.917421,25.101066,0,0,True,0
69,2026-03-10,83.332799,62.415378,20.917421,25.101066,0,0,True,0
70,2026-03-11,83.332799,62.415378,20.917421,25.101066,0,0,True,0
71,2026-03-12,83.332799,62.415378,20.917421,25.101066,0,0,True,0
72,2026-03-13,83.332799,62.415378,20.917421,25.101066,0,0,True,0
73,2026-03-14,83.332799,62.415378,20.917421,25.101066,0,0,True,0
74,2026-03-15,83.332799,62.415378,20.917421,25.101066,0,0,True,0
75,2026-03-16,83.332799,62.415378,20.917421,25.101066,0,0,True,0
76,2026-03-17,83.332799,62.414895,20.917904,25.101646,0,0,True,0
77,2026-03-18,83.332799,62.415378,20.917421,25.101066,0,0,True,0
78,2026-03-19,83.119905,62.15433,20.965575,25.22329,0,0,True,0
79,2026-03-20,83.332799,62.415378,20.917421,25.101066,0,0,True,0
80,2026-03-21,83.33081,62.33568,20.99513,25.194919,0,0,True,0
81,2026-03-22,83.332799,62.415378,20.917421,25.101066,0,0,True,0
82,2026-03-23,83.320377,62.411042,20.909335,25.095104,0,0,True,0
83,2026-03-24,83.327245,62.405461,20.921784,25.107975,0,0,True,0
84,2026-03-25,83.332799,62.415378,20.917421,25.101066,0,0,True,0
85,2026-03-26,83.332799,62.415378,20.917421,25.101066,0,0,True,0
86,2026-03-27,83.332799,62.415378,20.917421,25.101066,0,0,True,0
87,2026-03-28,83.332799,62.415378,20.917421,25.101066,0,0,True,0
88,2026-03-29,83.332799,62.415378,20.917421,25.101066,0,0,True,0
89,2026-03-30,83.332799,62.415378,20.917421,25.101066,0,0,True,0
90,2026-03-31,83.332799,62.415378,20.917421,25.101066,0,0,True,0
